url	first_seen	posted_at	portal	title	company	status	score
https://www.linkedin.com/jobs/view/data-engineer-remote-at-jobs-ai-4407121625	2026-04-26		linkedin	Data Engineer (Remote)	Jobs Ai	added	3.5
https://www.linkedin.com/jobs/view/business-intelligence-engineer-at-worldwide-flight-services-wfs-4404623811	2026-04-26		linkedin	Business Intelligence Engineer	Worldwide Flight Services (WFS)	added	3.8
https://www.linkedin.com/jobs/view/data-engineer-kafka-at-ahold-delhaize-usa-4385841774	2026-04-26		linkedin	Data Engineer - Kafka	Ahold Delhaize USA	added	3.2
https://www.linkedin.com/jobs/view/junior-java-devops-developer-data-engineer-at-synergisticit-4405916808	2026-04-26		linkedin	junior java devops developer/Data engineer	SynergisticIT	added	2.5
https://www.linkedin.com/jobs/view/analytics-engineer-gtm-data-infrastructure-at-doordash-4348653344	2026-04-26		linkedin	Analytics Engineer, GTM Data Infrastructure	DoorDash	added	3.2
https://www.linkedin.com/jobs/view/ai-engineer-at-h2o-ai-4392095303	2026-04-26		linkedin	AI Engineer	H2O.ai	added	2.5
https://www.linkedin.com/jobs/view/data-analyst-at-aeg-4384637228	2026-04-26		linkedin	Data Analyst	AEG	added	3.8
https://www.linkedin.com/jobs/view/global-data-analyst-at-dermalogica-4407124320	2026-04-26		linkedin	Global Data Analyst	Dermalogica	added	3.2
https://www.linkedin.com/jobs/view/data-analyst-at-haystack-4405766467	2026-04-26		linkedin	Data Analyst	Haystack	added	3.5
https://www.linkedin.com/jobs/view/data-engineer-web-scraping-at-sundayy-4407118534	2026-04-26		linkedin	Data Engineer, Web Scraping	Sundayy	added	3.5
https://www.linkedin.com/jobs/view/applied-ai-engineer-python-llm-agents-mcp-finance-domain-at-optimal-4407143179	2026-04-26		linkedin	Applied AI Engineer | Python | LLM Agents | MCP | Finance Domain	Optimal	added	1.5
https://www.linkedin.com/jobs/view/data-analyst-at-sundayy-4407111612	2026-04-26		linkedin	Data Analyst	Sundayy	added	3.8
https://www.linkedin.com/jobs/view/ai-engineer-at-gei-consultants-inc-4407136738	2026-04-26		linkedin	AI Engineer	GEI Consultants, Inc.	added	2.5
https://www.linkedin.com/jobs/view/data-analyst-programmer-at-elite-clinical-network-4394200595	2026-04-26		linkedin	Data Analyst / Programmer	Elite Clinical Network	Evaluated	4.2
https://www.linkedin.com/jobs/view/data-analyst-at-remotehunter-4405915341	2026-04-26		linkedin	Data Analyst	RemoteHunter	added	3.5
https://www.linkedin.com/jobs/view/ai-ml-engineer-at-savant-bio-4281817025	2026-04-26		linkedin	AI/ML Engineer	Savant Bio	added	3.2
https://www.linkedin.com/jobs/view/ml-engineer-at-nox-metals-4407142562	2026-04-26		linkedin	ML Engineer	NOX METALS	added	3.5
https://www.linkedin.com/jobs/view/ai-engineer-remote-at-joveo-ai-4407119410	2026-04-26		linkedin	AI Engineer (Remote)	Joveo AI	added	2.5
https://www.linkedin.com/jobs/view/ml-engineer-ai-at-sundayy-4407105706	2026-04-26		linkedin	ML Engineer, AI	Sundayy	added	3.2
https://www.linkedin.com/jobs/view/generative-ai-engineer-at-joveo-ai-4407120408	2026-04-26		linkedin	Generative AI Engineer	Joveo AI	added	2.1
https://www.linkedin.com/jobs/view/associate-software-engineer-ai-machine-learning-at-relay-4385378410	2026-04-26		linkedin	Associate Software Engineer (AI/Machine Learning)	Relay	added	3.5
https://www.linkedin.com/jobs/view/machine-learning-researcher-llm-at-susquehanna-international-group-4245664633	2026-04-26		linkedin	Machine Learning Researcher - LLM	Susquehanna International Group	added	2.1
https://www.linkedin.com/jobs/view/latam-data-science-engineer-at-playsaurus-inc-4404636284	2026-04-26		linkedin	LATAM - Data Science Engineer	Playsaurus Inc.	added	1.0
https://www.linkedin.com/jobs/view/analytics-engineer-at-jobs-via-dice-4403959679	2026-04-26		linkedin	Analytics Engineer	Jobs via Dice	added	3.8
https://www.linkedin.com/jobs/view/data-analytics-engineer-%E2%80%93-dbt-snowflake-data-modeling-at-htc-global-services-4405792611	2026-04-26		linkedin	Data Analytics Engineer – dbt / Snowflake / Data Modeling	HTC Global Services	added	3.8
https://www.linkedin.com/jobs/view/cpu-core-data-analytics-engineer-at-amd-4337728789	2026-04-26		linkedin	CPU Core Data Analytics Engineer	AMD	Evaluated	4.0
https://www.linkedin.com/jobs/view/full-stack-ai-engineer-at-nicsa-4405914663	2026-04-26		linkedin	Full Stack AI Engineer	Nicsa	added	2.5
https://www.linkedin.com/jobs/view/gtm-data-analyst-at-clay-4366524915	2026-04-26		linkedin	GTM Data Analyst	Clay	added	2.0
https://www.linkedin.com/jobs/view/ai-engineer-at-berkley-hunt-4366771346	2026-04-26		linkedin	AI Engineer	Berkley Hunt	added	2.5
https://www.linkedin.com/jobs/view/ai-engineer-at-scalr-4404642349	2026-04-26		linkedin	AI Engineer	scalr	added	2.5
